Date,U.S. Natural Gas Total Consumption (MMcf)
Jan-2001,2676998
Feb-2001,2309464
Mar-2001,2246633
Apr-2001,1807170
May-2001,1522382
Jun-2001,1444378
Jul-2001,1598071
Aug-2001,1669178
Sep-2001,1494128
Oct-2001,1649073
Nov-2001,1700950
Dec-2001,2120198
Jan-2002,2487638
Feb-2002,2242427
Mar-2002,2258431
Apr-2002,1880985
May-2002,1611453
Jun-2002,1591373
Jul-2002,1748435
Aug-2002,1725712
Sep-2002,1542170
Oct-2002,1645873
Nov-2002,1913629
Dec-2002,2378895
Jan-2003,2700545
Feb-2003,2500315
Mar-2003,2197936
Apr-2003,1743530
May-2003,1514697
Jun-2003,1368369
Jul-2003,1600484
Aug-2003,1651580
Sep-2003,1428554
Oct-2003,1553189
Nov-2003,1753642
Dec-2003,2263659
Jan-2004,2675834
Feb-2004,2511097
Mar-2004,2100921
Apr-2004,1745171
May-2004,1573043
Jun-2004,1483684
Jul-2004,1584933
Aug-2004,1577962
Sep-2004,1482150
Oct-2004,1557224
Nov-2004,1782796
Dec-2004,2327730
Jan-2005,2561858
Feb-2005,2242986
Mar-2005,2205787
Apr-2005,1724877
May-2005,1522613
Jun-2005,1534122
Jul-2005,1686609
Aug-2005,1695102
Sep-2005,1422495
Oct-2005,1428227
Nov-2005,1663400
Dec-2005,2326360
Jan-2006,2165268
Feb-2006,2144378
Mar-2006,2126369
Apr-2006,1681005
May-2006,1526297
Jun-2006,1550879
Jul-2006,1758733
Aug-2006,1751683
Sep-2006,1462070
Oct-2006,1644231
Nov-2006,1765375
Dec-2006,2122784
Jan-2007,2475594
Feb-2007,2566993
Mar-2007,2128845
Apr-2007,1810079
May-2007,1559080
Jun-2007,1555226
Jul-2007,1659882
Aug-2007,1896137
Sep-2007,1590484
Oct-2007,1627791
Nov-2007,1834529
Dec-2007,2399154
Jan-2008,2733970
Feb-2008,2503421
Mar-2008,2278151
Apr-2008,1823867
May-2008,1576387
Jun-2008,1604249
Jul-2008,1708641
Aug-2008,1682924
Sep-2008,1460924
Oct-2008,1635827
Nov-2008,1868947
Dec-2008,2399702
Jan-2009,2729715
Feb-2009,2332539
Mar-2009,2170709
Apr-2009,1741293
May-2009,1504000
Jun-2009,1527833
Jul-2009,1657997
Aug-2009,1736462
Sep-2009,1574975
Oct-2009,1666520
Nov-2009,1776171
Dec-2009,2491864
Jan-2010,2809788
Feb-2010,2480950
Mar-2010,2142925
Apr-2010,1691813
May-2010,1617274
Jun-2010,1649515
Jul-2010,1825828
Aug-2010,1878926
Sep-2010,1637491
Oct-2010,1664938
Nov-2010,1973294
Dec-2010,2714054
Jan-2011,2888640
Feb-2011,2452403
Mar-2011,2230493
Apr-2011,1825023
May-2011,1667396
Jun-2011,1657334
Jul-2011,1890515
Aug-2011,1891783
Sep-2011,1655634
Oct-2011,1744454
Nov-2011,2031872
Dec-2011,2541878
Jan-2012,2756180
Feb-2012,2500654
Mar-2012,2127761
Apr-2012,1953071
May-2012,1873835
Jun-2012,1868356
Jul-2012,2069773
Aug-2012,2008815
Sep-2012,1807208
Oct-2012,1901084
Nov-2012,2167841
Dec-2012,2503907
Jan-2013,2878785
Feb-2013,2567155
Mar-2013,2521108
Apr-2013,1967458
May-2013,1752469
Jun-2013,1742917
Jul-2013,1926330
Aug-2013,1927379
Sep-2013,1766973
Oct-2013,1866762
Nov-2013,2316909
Dec-2013,2920826
Jan-2014,3219321
Feb-2014,2749617
Mar-2014,2565768
Apr-2014,1968782
May-2014,1817371
Jun-2014,1754801
Jul-2014,1887407
Aug-2014,1940141
Sep-2014,1817745
Oct-2014,1920088
Nov-2014,2369046
Dec-2014,2687980
Jan-2015,3130331
Feb-2015,2951940
Mar-2015,2617104
Apr-2015,2036481
May-2015,1876522
Jun-2015,1919870
Jul-2015,2089668
Aug-2015,2073668
Sep-2015,1919302
Oct-2015,2003295
Nov-2015,2257703
Dec-2015,2597874
Jan-2016,3134086
Feb-2016,2703223
