Date,U.S. Natural Gas Exports (MMcf)
Jan-1973,5808
Feb-1973,6079
Mar-1973,4021
Apr-1973,8017
May-1973,8741
Jun-1973,4131
Jul-1973,5744
Aug-1973,8726
Sep-1973,6403
Oct-1973,5473
Nov-1973,5545
Dec-1973,8481
Jan-1974,5661
Feb-1974,5949
Mar-1974,6677
Apr-1974,6273
May-1974,5481
Jun-1974,7610
Jul-1974,8072
Aug-1974,5332
Sep-1974,6397
Oct-1974,5332
Nov-1974,7039
Dec-1974,6966
Jan-1975,3959
Feb-1975,6982
Mar-1975,6265
Apr-1975,5815
May-1975,6677
Jun-1975,3624
Jul-1975,8091
Aug-1975,6288
Sep-1975,6037
Oct-1975,5987
Nov-1975,5202
Dec-1975,7748
Jan-1976,5323
Feb-1976,5337
Mar-1976,6007
Apr-1976,5640
May-1976,4664
Jun-1976,4755
Jul-1976,5997
Aug-1976,5578
Sep-1976,6540
Oct-1976,4870
Nov-1976,5163
Dec-1976,4837
Jan-1977,4785
Feb-1977,4574
Mar-1977,4289
Apr-1977,3188
May-1977,3158
Jun-1977,4600
Jul-1977,7016
Aug-1977,5141
Sep-1977,4621
Oct-1977,4622
Nov-1977,4735
Dec-1977,4896
Jan-1978,5005
Feb-1978,4908
Mar-1978,4775
Apr-1978,3182
May-1978,4615
Jun-1978,4592
Jul-1978,4616
Aug-1978,4615
Sep-1978,6097
Oct-1978,3236
Nov-1978,3307
Dec-1978,3584
Jan-1979,6589
Feb-1979,4899
Mar-1979,4789
Apr-1979,4664
May-1979,4652
Jun-1979,4610
Jul-1979,6075
Aug-1979,4628
Sep-1979,4645
Oct-1979,3180
Nov-1979,3395
Dec-1979,3548
Jan-1980,6444
Feb-1980,4857
Mar-1980,4799
Apr-1980,3245
May-1980,3144
Jun-1980,3147
Jul-1980,2585
Aug-1980,2598
Sep-1980,5051
Oct-1980,4546
Nov-1980,3500
Dec-1980,4818
Jan-1981,5468
Feb-1981,4696
Mar-1981,5320
Apr-1981,4539
May-1981,3524
Jun-1981,4953
Jul-1981,5336
Aug-1981,4975
Sep-1981,5776
Oct-1981,5108
Nov-1981,5140
Dec-1981,4539
Jan-1982,3173
Feb-1982,4563
Mar-1982,4599
Apr-1982,1614
May-1982,3074
Jun-1982,5981
Jul-1982,4540
Aug-1982,5983
Sep-1982,4515
Oct-1982,4530
Nov-1982,4580
Dec-1982,4575
Jan-1983,4590
Feb-1983,4572
Mar-1983,4585
Apr-1983,4559
May-1983,4583
Jun-1983,3075
Jul-1983,4548
Aug-1983,6031
Sep-1983,4482
Oct-1983,4449
Nov-1983,4567
Dec-1983,4597
Jan-1984,4585
Feb-1984,4557
Mar-1984,5998
Apr-1984,4539
May-1984,4559
Jun-1984,3047
Jul-1984,4542
Aug-1984,4573
Sep-1984,4549
Oct-1984,4584
Nov-1984,4578
Dec-1984,4642
Jan-1985,4668
Feb-1985,4607
Mar-1985,6065
Apr-1985,4624
May-1985,1642
Jun-1985,4578
Jul-1985,6053
Aug-1985,4585
Sep-1985,4562
