Date,Price of U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet)
Jan-1989,2.69
Feb-1989,2.4
Mar-1989,2.4
Apr-1989,2.33
May-1989,2.44
Jun-1989,2.57
Jul-1989,2.54
Aug-1989,2.48
Sep-1989,2.41
Oct-1989,2.56
Nov-1989,2.71
Dec-1989,2.79
Jan-1990,3.11
Feb-1990,2.94
Mar-1990,2.42
Apr-1990,2.95
May-1990,2.51
Jun-1990,2.75
Jul-1990,2.95
Aug-1990,2.79
Sep-1990,2.82
Oct-1990,2.71
Nov-1990,2.74
Dec-1990,4.23
Jan-1991,3.61
Feb-1991,3.08
Mar-1991,2.76
Apr-1991,2.87
May-1991,2.14
Jun-1991,2.19
Jul-1991,2.36
Aug-1991,2.53
Sep-1991,2.32
Oct-1991,2.27
Nov-1991,2.41
Dec-1991,2.58
Jan-1992,2.3
Feb-1992,1.98
Mar-1992,2.03
Apr-1992,1.88
May-1992,2.12
Jun-1992,2.17
Jul-1992,2.16
Aug-1992,2.31
Sep-1992,2.36
Oct-1992,2.65
Nov-1992,2.52
Dec-1992,2.49
Jan-1993,2.44
Feb-1993,2.45
Mar-1993,2.46
Apr-1993,2.58
May-1993,2.63
Jun-1993,2.31
Jul-1993,2.55
Aug-1993,2.68
Sep-1993,2.78
Oct-1993,2.52
Nov-1993,2.83
Dec-1993,3.01
Jan-1994,2.71
Feb-1994,2.74
Mar-1994,2.74
Apr-1994,2.45
May-1994,2.47
Jun-1994,2.52
Jul-1994,2.65
Aug-1994,2.42
Sep-1994,2.37
Oct-1994,2.38
Nov-1994,2.21
Dec-1994,2.47
Jan-1995,2.36
Feb-1995,2.3
Mar-1995,2.22
Apr-1995,2.17
May-1995,2.23
Jun-1995,2.34
Jul-1995,2.3
Aug-1995,2.6
Sep-1995,2.58
Oct-1995,2.21
Nov-1995,2.69
Dec-1995,2.94
Jan-1996,3.1
Feb-1996,2.85
Mar-1996,2.88
Apr-1996,2.88
May-1996,2.73
Jun-1996,2.87
Jul-1996,3.04
Aug-1996,2.65
Sep-1996,2.85
Oct-1996,2.83
Nov-1996,3.25
Dec-1996,3.7
Jan-1997,4.16
Feb-1997,3.46
Mar-1997,2.74
