Date,U.S. Natural Gas Imports (MMcf)
Jan-1973,92694
Feb-1973,83870
Mar-1973,91581
Apr-1973,88407
May-1973,85844
Jun-1973,79121
Jul-1973,79428
Aug-1973,84400
Sep-1973,81157
Oct-1973,92151
Nov-1973,85784
Dec-1973,88466
Jan-1974,85815
Feb-1974,78919
Mar-1974,85190
Apr-1974,83371
May-1974,79764
Jun-1974,74245
Jul-1974,73247
Aug-1974,76037
Sep-1974,70511
Oct-1974,82625
Nov-1974,83107
Dec-1974,86454
Jan-1975,80824
Feb-1975,74496
Mar-1975,83380
Apr-1975,82132
May-1975,79818
Jun-1975,76307
Jul-1975,80037
Aug-1975,75311
Sep-1975,73606
Oct-1975,80468
Nov-1975,80761
Dec-1975,85867
Jan-1976,84395
Feb-1976,78024
Mar-1976,84910
Apr-1976,85940
May-1976,81650
Jun-1976,75785
Jul-1976,73108
Aug-1976,76539
Sep-1976,74125
Oct-1976,85257
Nov-1976,80926
Dec-1976,83110
Jan-1977,86944
Feb-1977,91751
Mar-1977,100826
Apr-1977,84474
May-1977,85697
Jun-1977,76247
Jul-1977,72499
Aug-1977,76453
Sep-1977,75446
Oct-1977,84828
Nov-1977,86300
Dec-1977,89536
Jan-1978,85796
Feb-1978,77256
Mar-1978,85621
Apr-1978,78313
May-1978,73829
Jun-1978,68327
Jul-1978,71557
Aug-1978,73604
Sep-1978,73236
Oct-1978,80197
Nov-1978,90783
Dec-1978,107026
Jan-1979,102237
Feb-1979,96612
Mar-1979,112962
Apr-1979,105864
May-1979,104317
Jun-1979,100633
Jul-1979,103754
Aug-1979,96985
Sep-1979,97936
Oct-1979,107418
Nov-1979,114564
Dec-1979,110099
Jan-1980,118006
Feb-1980,108192
Mar-1980,108648
Apr-1980,77257
May-1980,70207
Jun-1980,61256
Jul-1980,60600
Aug-1980,59966
Sep-1980,60190
Oct-1980,74355
Nov-1980,88279
Dec-1980,97806
Jan-1981,91149
Feb-1981,84706
Mar-1981,79820
Apr-1981,69337
May-1981,62377
Jun-1981,64923
Jul-1981,66184
Aug-1981,64450
Sep-1981,67316
Oct-1981,79204
Nov-1981,81940
Dec-1981,92544
Jan-1982,98077
Feb-1982,85337
Mar-1982,81648
Apr-1982,71591
May-1982,65324
Jun-1982,61213
Jul-1982,66839
Aug-1982,60809
Sep-1982,65515
Oct-1982,76522
Nov-1982,90532
Dec-1982,109928
Jan-1983,112108
Feb-1983,94673
Mar-1983,85912
Apr-1983,73644
May-1983,61135
Jun-1983,58866
Jul-1983,58094
Aug-1983,55511
Sep-1983,66866
Oct-1983,64236
Nov-1983,80498
Dec-1983,106865
Jan-1984,97339
Feb-1984,68900
Mar-1984,69161
Apr-1984,71215
May-1984,65967
Jun-1984,59292
Jul-1984,55459
Aug-1984,54104
Sep-1984,56831
Oct-1984,65822
Nov-1984,84502
Dec-1984,94469
Jan-1985,103893
Feb-1985,99497
Mar-1985,89554
Apr-1985,75513
May-1985,73439
Jun-1985,65422
Jul-1985,59497
Aug-1985,60519
Sep-1985,63268
Oct-1985,75802
Nov-1985,77078
Dec-1985,106233
Jan-1986,99415
Feb-1986,74182
Mar-1986,54684
Apr-1986,42512
May-1986,52179
Jun-1986,44427
Jul-1986,48382
Aug-1986,50580
Sep-1986,54479
Oct-1986,68628
Nov-1986,70483
Dec-1986,90497
Jan-1987,100779
Feb-1987,83911
Mar-1987,85778
Apr-1987,68486
May-1987,61422
Jun-1987,57709
Jul-1987,66211
Aug-1987,74702
Sep-1987,72837
Oct-1987,93094
Nov-1987,107092
Dec-1987,120510
Jan-1988,137865
Feb-1988,116223
Mar-1988,111816
Apr-1988,94722
May-1988,93370
Jun-1988,93165
Jul-1988,99844
Aug-1988,95434
Sep-1988,95861
Oct-1988,106884
Nov-1988,120685
Dec-1988,127943
Jan-1989,119269
Feb-1989,110218
Mar-1989,113196
Apr-1989,110335
May-1989,107980
Jun-1989,103706
Jul-1989,101486
Aug-1989,107770
Sep-1989,116763
Oct-1989,122663
Nov-1989,123159
Dec-1989,144973
Jan-1990,140176
Feb-1990,117576
Mar-1990,115979
Apr-1990,123360
May-1990,122917
Jun-1990,117009
Jul-1990,119686
Aug-1990,118485
Sep-1990,119523
Oct-1990,141974
Nov-1990,139691
Dec-1990,155884
Jan-1991,163448
Feb-1991,137998
Mar-1991,151487
Apr-1991,143955
May-1991,141292
Jun-1991,133264
Jul-1991,134859
Aug-1991,127139
Sep-1991,133934
Oct-1991,156635
Nov-1991,168718
Dec-1991,180585
Jan-1992,164636
Feb-1992,175243
Mar-1992,180482
Apr-1992,176146
May-1992,174312
Jun-1992,162249
Jul-1992,167216
Aug-1992,174733
Sep-1992,166117
Oct-1992,176466
Nov-1992,210479
Dec-1992,209426
Jan-1993,200070
Feb-1993,190711
Mar-1993,204415
Apr-1993,188666
May-1993,171307
Jun-1993,182364
Jul-1993,194581
Aug-1993,197322
Sep-1993,194027
Oct-1993,192222
Nov-1993,209619
Dec-1993,224811
Jan-1994,240895
Feb-1994,198661
Mar-1994,222858
Apr-1994,211749
May-1994,206131
Jun-1994,200582
Jul-1994,221166
Aug-1994,218879
Sep-1994,209996
Oct-1994,221627
Nov-1994,225819
Dec-1994,245477
Jan-1995,253335
Feb-1995,235977
Mar-1995,250349
Apr-1995,231745
May-1995,228259
Jun-1995,217456
Jul-1995,222652
Aug-1995,236891
Sep-1995,227708
Oct-1995,236003
Nov-1995,236344
Dec-1995,264329
Jan-1996,263615
Feb-1996,233756
Mar-1996,241526
Apr-1996,236857
May-1996,252158
Jun-1996,226587
Jul-1996,236864
Aug-1996,237858
Sep-1996,237500
Oct-1996,247520
Nov-1996,251807
Dec-1996,271366
Jan-1997,278288
Feb-1997,240545
Mar-1997,256985
Apr-1997,238178
May-1997,241732
Jun-1997,232118
Jul-1997,235593
Aug-1997,244684
Sep-1997,239486
Oct-1997,251758
Nov-1997,272091
Dec-1997,262716
Jan-1998,286278
Feb-1998,251052
Mar-1998,263032
Apr-1998,253161
May-1998,252310
Jun-1998,243442
Jul-1998,266319
Aug-1998,274809
Sep-1998,262142
Oct-1998,266063
Nov-1998,258033
Dec-1998,275417
Jan-1999,310790
Feb-1999,286412
Mar-1999,301610
Apr-1999,271387
May-1999,291454
Jun-1999,279096
Jul-1999,296422
Aug-1999,312081
Sep-1999,302414
Oct-1999,304637
Nov-1999,305152
Dec-1999,324050
Jan-2000,325897
Feb-2000,300107
Mar-2000,306596
Apr-2000,294016
May-2000,287793
Jun-2000,296046
Jul-2000,322285
Aug-2000,318308
Sep-2000,304843
Oct-2000,324527
Nov-2000,329759
Dec-2000,371425
Jan-2001,373077
Feb-2001,328289
Mar-2001,358103
Apr-2001,318573
May-2001,321878
Jun-2001,317414
Jul-2001,364571
Aug-2001,353338
Sep-2001,314864
Oct-2001,326114
Nov-2001,291044
Dec-2001,309673
Jan-2002,343481
Feb-2002,305917
Mar-2002,332596
Apr-2002,315116
May-2002,319404
Jun-2002,318002
Jul-2002,344641
Aug-2002,356013
Sep-2002,335594
Oct-2002,343427
Nov-2002,330544
Dec-2002,370729
Jan-2003,359168
Feb-2003,308804
Mar-2003,324364
Apr-2003,314655
May-2003,325157
Jun-2003,306878
Jul-2003,340532
Aug-2003,331628
Sep-2003,320676
Oct-2003,331005
Nov-2003,316721
Dec-2003,364161
Jan-2004,373195
Feb-2004,345930
Mar-2004,348992
Apr-2004,325105
May-2004,326541
Jun-2004,341934
Jul-2004,374651
Aug-2004,360244
Sep-2004,344621
Oct-2004,335533
Nov-2004,368685
Dec-2004,413128
Jan-2005,405016
Feb-2005,356495
Mar-2005,379650
Apr-2005,326147
May-2005,333997
Jun-2005,321710
Jul-2005,386093
Aug-2005,351805
Sep-2005,345907
Oct-2005,366305
Nov-2005,359387
Dec-2005,408522
Jan-2006,360316
Feb-2006,321045
Mar-2006,348293
Apr-2006,332248
May-2006,350535
Jun-2006,348095
Jul-2006,370925
Aug-2006,364972
Sep-2006,333514
Oct-2006,334016
Nov-2006,339118
Dec-2006,383205
Jan-2007,393140
Feb-2007,372874
Mar-2007,401779
Apr-2007,386837
May-2007,380213
Jun-2007,381470
Jul-2007,418576
Aug-2007,426534
Sep-2007,361383
Oct-2007,347224
Nov-2007,340607
Dec-2007,396945
Jan-2008,389651
Feb-2008,349660
Mar-2008,366810
Apr-2008,322122
May-2008,297154
Jun-2008,286919
Jul-2008,322810
Aug-2008,328663
Sep-2008,313868
Oct-2008,321328
Nov-2008,320254
Dec-2008,364862
Jan-2009,356749
Feb-2009,321522
Mar-2009,325165
Apr-2009,321848
May-2009,265793
Jun-2009,281970
Jul-2009,316715
Aug-2009,336848
Sep-2009,307026
Oct-2009,273124
Nov-2009,294918
Dec-2009,349682
Jan-2010,384586
Feb-2010,324124
Mar-2010,318769
Apr-2010,298464
May-2010,297801
Jun-2010,282260
Jul-2010,328655
Aug-2010,304901
Sep-2010,281518
Oct-2010,294744
Nov-2010,273165
Dec-2010,351773
Jan-2011,371919
Feb-2011,311154
Mar-2011,315408
Apr-2011,277936
May-2011,271252
Jun-2011,266617
Jul-2011,293477
Aug-2011,280284
Sep-2011,251846
Oct-2011,282159
Nov-2011,248908
Dec-2011,297733
Jan-2012,281131
Feb-2012,269906
Mar-2012,265152
Apr-2012,243018
May-2012,259023
Jun-2012,259732
Jul-2012,281166
Aug-2012,281350
Sep-2012,257990
Oct-2012,253402
Nov-2012,233853
Dec-2012,252066
Jan-2013,278078
Feb-2013,236875
Mar-2013,248290
Apr-2013,220608
May-2013,234183
Jun-2013,236690
Jul-2013,236199
Aug-2013,236248
