Date,U.S. Natural Gas Marketed Production (MMcf)
Jan-1973,1948000
Feb-1973,1962000
Mar-1973,1907000
Apr-1973,1814000
May-1973,1898000
Jun-1973,1839000
Jul-1973,1880000
Aug-1973,1896000
Sep-1973,1840000
Oct-1973,1875000
Nov-1973,1863000
Dec-1973,1926000
Jan-1974,1930000
Feb-1974,1760000
Mar-1974,1895000
Apr-1974,1780000
May-1974,1847000
Jun-1974,1740000
Jul-1974,1818000
Aug-1974,1790000
Sep-1974,1755000
Oct-1974,1767000
Nov-1974,1729000
Dec-1974,1790000
Jan-1975,1779000
Feb-1975,1645000
Mar-1975,1738000
Apr-1975,1672000
May-1975,1689000
Jun-1975,1634000
Jul-1975,1677000
Aug-1975,1677000
Sep-1975,1603000
Oct-1975,1646000
Nov-1975,1618000
Dec-1975,1730000
Jan-1976,1751000
Feb-1976,1647000
Mar-1976,1714000
Apr-1976,1623000
May-1976,1673000
Jun-1976,1640000
Jul-1976,1676000
Aug-1976,1636000
Sep-1976,1565000
Oct-1976,1639000
Nov-1976,1636000
Dec-1976,1753000
Jan-1977,1740000
Feb-1977,1674000
Mar-1977,1751000
Apr-1977,1644000
May-1977,1692000
Jun-1977,1649000
Jul-1977,1674000
Aug-1977,1645000
Sep-1977,1599000
Oct-1977,1628000
Nov-1977,1606000
Dec-1977,1726000
Jan-1978,1743000
Feb-1978,1649000
Mar-1978,1748000
Apr-1978,1668000
May-1978,1664000
Jun-1978,1623000
Jul-1978,1693000
Aug-1978,1658000
Sep-1978,1576000
Oct-1978,1635000
Nov-1978,1607000
Dec-1978,1710000
Jan-1979,1772000
Feb-1979,1656000
Mar-1979,1755000
Apr-1979,1693000
May-1979,1716000
Jun-1979,1643000
Jul-1979,1662000
Aug-1979,1689000
Sep-1979,1635000
Oct-1979,1705000
Nov-1979,1724000
Dec-1979,1823000
Jan-1980,1821000
Feb-1980,1709000
Mar-1980,1830000
Apr-1980,1670000
May-1980,1695000
Jun-1980,1586000
Jul-1980,1616000
Aug-1980,1576000
Sep-1980,1579000
Oct-1980,1648000
Nov-1980,1652000
Dec-1980,1798000
Jan-1981,1752000
Feb-1981,1573000
Mar-1981,1735000
Apr-1981,1674000
May-1981,1698000
Jun-1981,1634000
Jul-1981,1663000
Aug-1981,1705000
Sep-1981,1577000
Oct-1981,1643000
Nov-1981,1583000
Dec-1981,1718000
Jan-1982,1733813
Feb-1982,1589337
Mar-1982,1680631
Apr-1982,1586327
May-1982,1557228
Jun-1982,1510067
Jul-1982,1531139
Aug-1982,1497022
Sep-1982,1435813
Oct-1982,1464912
Nov-1982,1480967
Dec-1982,1515084
Jan-1983,1596121
Feb-1983,1386471
Mar-1983,1426469
Apr-1983,1395369
May-1983,1392060
Jun-1983,1348330
Jul-1983,1397885
Aug-1983,1377455
Sep-1983,1312654
Oct-1983,1380359
Nov-1983,1376780
Dec-1983,1494141
Jan-1984,1730382
Feb-1984,1503097
Mar-1984,1546460
Apr-1984,1512744
May-1984,1509156
Jun-1984,1461748
Jul-1984,1515471
Aug-1984,1493323
Sep-1984,1423071
Oct-1984,1496471
Nov-1984,1492591
Dec-1984,1619824
Jan-1985,1642424
Feb-1985,1491742
Mar-1985,1489912
Apr-1985,1403129
May-1985,1389055
Jun-1985,1341112
Jul-1985,1374047
Aug-1985,1371076
Sep-1985,1344066
Oct-1985,1399778
Nov-1985,1404027
Dec-1985,1619859
Jan-1986,1620898
Feb-1986,1406522
Mar-1986,1492857
Apr-1986,1341330
May-1986,1366904
Jun-1986,1307343
Jul-1986,1349304
Aug-1986,1352305
Sep-1986,1284803
Oct-1986,1358930
Nov-1986,1435435
Dec-1986,1542043
Jan-1987,1612362
Feb-1987,1449437
Mar-1987,1530167
Apr-1987,1427734
May-1987,1411172
Jun-1987,1351361
Jul-1987,1371426
Aug-1987,1395657
Sep-1987,1331313
Oct-1987,1446264
Nov-1987,1490212
Dec-1987,1615796
Jan-1988,1663703
Feb-1988,1514696
Mar-1988,1580151
Apr-1988,1446606
May-1988,1481440
Jun-1988,1407635
Jul-1988,1426395
Aug-1988,1446517
Sep-1988,1364613
Oct-1988,1482372
Nov-1988,1510986
Dec-1988,1593349
Jan-1989,1607030
Feb-1989,1484383
Mar-1989,1573421
Apr-1989,1498615
May-1989,1518640
Jun-1989,1456458
Jul-1989,1484431
Aug-1989,1473242
Sep-1989,1402249
Oct-1989,1472124
Nov-1989,1532751
Dec-1989,1591803
Jan-1990,1688405
Feb-1990,1504126
Mar-1990,1595556
Apr-1990,1512357
May-1990,1529569
Jun-1990,1487364
Jul-1990,1512439
Aug-1990,1518246
Sep-1990,1454351
Oct-1990,1581541
Nov-1990,1578680
Dec-1990,1631158
Jan-1991,1685587
Feb-1991,1483427
Mar-1991,1606874
Apr-1991,1531264
May-1991,1521809
Jun-1991,1450544
Jul-1991,1464959
Aug-1991,1470857
Sep-1991,1463974
Oct-1991,1580397
Nov-1991,1599756
Dec-1991,1672701
Jan-1992,1663111
Feb-1992,1466733
Mar-1992,1547288
Apr-1992,1518106
May-1992,1557151
Jun-1992,1514984
Jul-1992,1563702
Aug-1992,1522282
Sep-1992,1507660
Oct-1992,1607569
Nov-1992,1587552
Dec-1992,1655671
Jan-1993,1647725
Feb-1993,1480823
Mar-1993,1626129
Apr-1993,1542286
May-1993,1567985
Jun-1993,1515170
Jul-1993,1547598
Aug-1993,1566351
Sep-1993,1535610
Oct-1993,1620526
Nov-1993,1625288
Dec-1993,1706422
Jan-1994,1690770
Feb-1994,1515069
Mar-1994,1696185
Apr-1994,1611987
May-1994,1668527
Jun-1994,1592186
Jul-1994,1649547
Aug-1994,1656664
Sep-1994,1572818
Oct-1994,1633678
Nov-1994,1679577
Dec-1994,1742516
Jan-1995,1676643
Feb-1995,1495384
Mar-1995,1659694
Apr-1995,1604162
May-1995,1648688
Jun-1995,1586994
Jul-1995,1639474
Aug-1995,1628213
Sep-1995,1580857
Oct-1995,1610256
Nov-1995,1656989
Dec-1995,1719118
Jan-1996,1669604
Feb-1996,1577744
Mar-1996,1670916
Apr-1996,1646842
May-1996,1676585
Jun-1996,1631550
Jul-1996,1670599
Aug-1996,1675645
Sep-1996,1617688
Oct-1996,1657074
Nov-1996,1639885
Dec-1996,1678109
Jan-1997,1700410
Feb-1997,1540644
Mar-1997,1710583
Apr-1997,1630357
May-1997,1692637
Jun-1997,1603091
Jul-1997,1665310
Aug-1997,1662151
Sep-1997,1623973
Oct-1997,1678542
Nov-1997,1625944
Dec-1997,1655732
Jan-1998,1740662
Feb-1998,1549369
Mar-1998,1729596
Apr-1998,1670166
May-1998,1731903
Jun-1998,1660137
Jul-1998,1690820
Aug-1998,1702581
Sep-1998,1545614
Oct-1998,1667795
Nov-1998,1615892
Dec-1998,1656813
Jan-1999,1709279
Feb-1999,1540789
Mar-1999,1705658
Apr-1999,1629521
May-1999,1660154
Jun-1999,1620577
Jul-1999,1667637
Aug-1999,1664085
Sep-1999,1610663
Oct-1999,1669079
Nov-1999,1640813
Dec-1999,1686596
Jan-2000,1708636
Feb-2000,1573807
Mar-2000,1722304
Apr-2000,1628474
May-2000,1691817
Jun-2000,1651376
Jul-2000,1705843
Aug-2000,1718738
Sep-2000,1663224
Oct-2000,1749979
Nov-2000,1664842
Dec-2000,1718470
Jan-2001,1753237
Feb-2001,1582557
Mar-2001,1766754
Apr-2001,1703310
May-2001,1763141
Jun-2001,1685568
Jul-2001,1737185
Aug-2001,1737283
Sep-2001,1688682
Oct-2001,1757397
Nov-2001,1671377
Dec-2001,1723803
Jan-2002,1700744
Feb-2002,1522916
Mar-2002,1701456
Apr-2002,1644193
May-2002,1711242
Jun-2002,1648568
Jul-2002,1719187
Aug-2002,1684340
Sep-2002,1592968
Oct-2002,1630246
Nov-2002,1634246
Dec-2002,1694674
Jan-2003,1690682
Feb-2003,1537109
Mar-2003,1739241
Apr-2003,1665329
May-2003,1700460
Jun-2003,1646690
Jul-2003,1667181
Aug-2003,1701056
Sep-2003,1638825
Oct-2003,1694596
Nov-2003,1620085
Dec-2003,1673106
Jan-2004,1674398
Feb-2004,1551457
Mar-2004,1685174
Apr-2004,1629220
May-2004,1654209
Jun-2004,1619097
Jul-2004,1668490
Aug-2004,1654093
Sep-2004,1550376
Oct-2004,1620423
Nov-2004,1583720
Dec-2004,1626834
Jan-2005,1632685
Feb-2005,1498281
Mar-2005,1687347
Apr-2005,1614614
May-2005,1652081
Jun-2005,1611743
Jul-2005,1627427
Aug-2005,1619414
Sep-2005,1400941
Oct-2005,1475622
Nov-2005,1514407
Dec-2005,1592533
Jan-2006,1611000
Feb-2006,1450983
Mar-2006,1631383
Apr-2006,1570546
May-2006,1632139
Jun-2006,1614061
Jul-2006,1650313
Aug-2006,1656034
Sep-2006,1617442
Oct-2006,1675387
Nov-2006,1615322
Dec-2006,1685065
Jan-2007,1652470
Feb-2007,1513461
Mar-2007,1703085
Apr-2007,1626673
May-2007,1722549
Jun-2007,1666465
Jul-2007,1703237
Aug-2007,1712771
Sep-2007,1674745
Oct-2007,1733373
Nov-2007,1712314
Dec-2007,1775203
Jan-2008,1765447
Feb-2008,1666095
Mar-2008,1804065
Apr-2008,1740229
May-2008,1797917
Jun-2008,1760998
Jul-2008,1852724
Aug-2008,1826392
Sep-2008,1559028
Oct-2008,1754251
Nov-2008,1757942
Dec-2008,1826966
Jan-2009,1870465
Feb-2009,1704919
Mar-2009,1875053
Apr-2009,1783234
May-2009,1843327
Jun-2009,1791993
Jul-2009,1827798
Aug-2009,1842284
Sep-2009,1733980
Oct-2009,1814913
Nov-2009,1757520
Dec-2009,1802449
Jan-2010,1824143
Feb-2010,1682869
Mar-2010,1864519
Apr-2010,1813312
May-2010,1886476
Jun-2010,1802492
Jul-2010,1896082
Aug-2010,1917995
Sep-2010,1861038
Oct-2010,1956114
Nov-2010,1892658
Dec-2010,1984174
Jan-2011,1952732
Feb-2011,1728929
Mar-2011,2002359
Apr-2011,1960847
May-2011,2030695
Jun-2011,1954453
Jul-2011,2032795
Aug-2011,2056617
Sep-2011,1987134
Oct-2011,2118735
Nov-2011,2076152
Dec-2011,2134904
Jan-2012,2152698
Feb-2012,1974431
Mar-2012,2118693
Apr-2012,2044519
May-2012,2121367
Jun-2012,2039909
Jul-2012,2162384
Aug-2012,2151742
Sep-2012,2094289
Oct-2012,2168774
Nov-2012,2101833
Dec-2012,2152640
Jan-2013,2136400
Feb-2013,1935275
Mar-2013,2136856
Apr-2013,2094623
May-2013,2157048
Jun-2013,2084393
Jul-2013,2196404
Aug-2013,2191677
Sep-2013,2115463
Oct-2013,2192600
Nov-2013,2143606
Dec-2013,2177887
Jan-2014,2209210
Feb-2014,2002339
Mar-2014,2246167
Apr-2014,2206393
May-2014,2299959
Jun-2014,2235460
Jul-2014,2342409
Aug-2014,2358206
Sep-2014,2296906
Oct-2014,2396045
Nov-2014,2325354
Dec-2014,2418195
Jan-2015,2398521
Feb-2015,2184730
Mar-2015,2438707
Apr-2015,2378144
May-2015,2432116
Jun-2015,2369878
Jul-2015,2459155
Aug-2015,2473618
Sep-2015,2406795
Oct-2015,2455580
Nov-2015,2375706
Dec-2015,2441351
Jan-2016,2447615
Feb-2016,2322827
