Week ending,Source,East Region,Midwest Region,Mountain Region,Pacific Region,South Central Region,Salt,NonSalt,Total Lower 48
01-Jan-10,Derived EIA Weekly Estimates,769,900,195,268,985,159,826,3117
08-Jan-10,Derived EIA Weekly Estimates,703,820,185,257,886,123,763,2850
15-Jan-10,Derived EIA Weekly Estimates,642,750,176,246,793,91,702,2607
22-Jan-10,Derived EIA Weekly Estimates,616,710,171,235,789,102,687,2521
29-Jan-10,Derived EIA Weekly Estimates,582,661,164,221,779,108,671,2406
05-Feb-10,Derived EIA Weekly Estimates,523,604,157,211,719,95,624,2214
12-Feb-10,Derived EIA Weekly Estimates,471,552,148,197,658,85,573,2026
19-Feb-10,Derived EIA Weekly Estimates,425,502,141,193,592,71,521,1853
26-Feb-10,Derived EIA Weekly Estimates,390,464,133,184,566,70,496,1738
05-Mar-10,Derived EIA Weekly Estimates,349,433,129,182,535,63,472,1627
12-Mar-10,Derived EIA Weekly Estimates,341,422,127,176,548,71,477,1614
19-Mar-10,Derived EIA Weekly Estimates,334,419,126,179,567,80,487,1626
26-Mar-10,Derived EIA Weekly Estimates,336,410,126,185,581,89,492,1638
02-Apr-10,Derived EIA Weekly Estimates,333,410,126,189,612,101,511,1670
09-Apr-10,Derived EIA Weekly Estimates,358,429,126,193,649,112,537,1754
16-Apr-10,Derived EIA Weekly Estimates,376,444,129,199,679,120,559,1828
23-Apr-10,Derived EIA Weekly Estimates,397,462,134,209,710,126,584,1912
30-Apr-10,Derived EIA Weekly Estimates,416,480,138,220,741,133,608,1994
07-May-10,Derived EIA Weekly Estimates,444,506,142,230,770,138,632,2091
14-May-10,Derived EIA Weekly Estimates,463,520,147,241,794,144,650,2165
21-May-10,Derived EIA Weekly Estimates,491,546,154,253,824,149,675,2268
28-May-10,Derived EIA Weekly Estimates,518,567,161,265,846,151,695,2357
04-Jun-10,Derived EIA Weekly Estimates,545,593,165,279,874,158,716,2456
11-Jun-10,Derived EIA Weekly Estimates,571,619,168,288,895,160,735,2542
18-Jun-10,Derived EIA Weekly Estimates,596,645,173,299,912,161,751,2625
25-Jun-10,Derived EIA Weekly Estimates,615,666,178,305,920,158,762,2684
02-Jul-10,Derived EIA Weekly Estimates,638,691,182,311,938,160,778,2761
09-Jul-10,Derived EIA Weekly Estimates,659,715,188,318,962,168,794,2841
16-Jul-10,Derived EIA Weekly Estimates,681,735,192,317,968,163,805,2893
23-Jul-10,Derived EIA Weekly Estimates,698,751,195,314,962,157,805,2919
30-Jul-10,Derived EIA Weekly Estimates,716,766,197,313,955,148,807,2947
06-Aug-10,Derived EIA Weekly Estimates,737,788,199,314,946,144,802,2984
13-Aug-10,Derived EIA Weekly Estimates,758,808,202,314,930,136,794,3013
20-Aug-10,Derived EIA Weekly Estimates,781,833,205,309,925,131,794,3054
27-Aug-10,Derived EIA Weekly Estimates,805,861,209,301,930,133,797,3105
03-Sep-10,Derived EIA Weekly Estimates,814,886,212,303,948,136,812,3163
10-Sep-10,Derived EIA Weekly Estimates,835,919,221,307,984,150,834,3267
17-Sep-10,Derived EIA Weekly Estimates,856,951,223,307,1005,150,855,3341
24-Sep-10,Derived EIA Weekly Estimates,876,979,227,309,1024,153,871,3415
01-Oct-10,Derived EIA Weekly Estimates,896,1011,230,307,1055,162,893,3499
08-Oct-10,Derived EIA Weekly Estimates,912,1039,232,313,1095,168,927,3590
15-Oct-10,Derived EIA Weekly Estimates,930,1071,233,317,1132,182,950,3683
22-Oct-10,Derived EIA Weekly Estimates,940,1096,236,321,1162,189,973,3754
29-Oct-10,Derived EIA Weekly Estimates,955,1120,235,323,1188,193,995,3821
05-Nov-10,Derived EIA Weekly Estimates,950,1124,236,327,1203,199,1004,3840
12-Nov-10,Derived EIA Weekly Estimates,940,1126,236,326,1206,207,999,3834
19-Nov-10,Derived EIA Weekly Estimates,940,1115,234,329,1210,211,999,3828
26-Nov-10,Derived EIA Weekly Estimates,940,1100,227,313,1224,218,1006,3805
03-Dec-10,Derived EIA Weekly Estimates,918,1071,222,298,1208,215,993,3717
10-Dec-10,Derived EIA Weekly Estimates,862,1017,216,293,1165,205,960,3553
17-Dec-10,Derived EIA Weekly Estimates,807,956,209,289,1108,186,922,3369
24-Dec-10,Derived EIA Weekly Estimates,756,904,201,284,1087,182,905,3232
31-Dec-10,Derived EIA Weekly Estimates,715,866,192,275,1050,175,875,3097
07-Jan-11,Derived EIA Weekly Estimates,684,817,181,248,1030,183,847,2960
14-Jan-11,Derived EIA Weekly Estimates,622,753,172,229,939,158,781,2716
21-Jan-11,Derived EIA Weekly Estimates,577,696,164,221,885,153,732,2543
28-Jan-11,Derived EIA Weekly Estimates,519,639,156,211,830,142,688,2355
04-Feb-11,Derived EIA Weekly Estimates,470,578,145,187,763,123,640,2144
11-Feb-11,Derived EIA Weekly Estimates,421,510,137,171,672,90,582,1910
18-Feb-11,Derived EIA Weekly Estimates,392,482,132,162,662,90,572,1831
25-Feb-11,Derived EIA Weekly Estimates,359,445,124,147,671,100,571,1745
04-Mar-11,Derived EIA Weekly Estimates,330,412,118,136,676,106,570,1672
11-Mar-11,Derived EIA Weekly Estimates,308,384,113,137,674,111,563,1616
18-Mar-11,Derived EIA Weekly Estimates,296,373,112,141,688,121,567,1611
25-Mar-11,Derived EIA Weekly Estimates,293,369,110,137,713,131,582,1622
01-Apr-11,Derived EIA Weekly Estimates,265,346,110,142,716,138,578,1578
08-Apr-11,Derived EIA Weekly Estimates,269,349,107,145,736,143,593,1606
15-Apr-11,Derived EIA Weekly Estimates,284,362,106,148,753,143,610,1654
22-Apr-11,Derived EIA Weekly Estimates,298,362,105,153,766,144,622,1685
29-Apr-11,Derived EIA Weekly Estimates,321,380,105,161,789,149,640,1757
06-May-11,Derived EIA Weekly Estimates,344,398,106,168,812,155,657,1827
13-May-11,Derived EIA Weekly Estimates,375,423,108,177,837,161,676,1919
20-May-11,Derived EIA Weekly Estimates,405,447,111,186,874,175,699,2023
27-May-11,Derived EIA Weekly Estimates,434,469,115,197,892,177,715,2107
03-Jun-11,Derived EIA Weekly Estimates,458,494,120,206,910,179,731,2188
10-Jun-11,Derived EIA Weekly Estimates,483,517,125,217,916,180,736,2257
17-Jun-11,Derived EIA Weekly Estimates,515,548,131,229,931,184,747,2354
24-Jun-11,Derived EIA Weekly Estimates,542,576,136,237,941,182,759,2432
01-Jul-11,Derived EIA Weekly Estimates,574,605,142,248,957,184,773,2526
08-Jul-11,Derived EIA Weekly Estimates,602,635,148,254,972,185,787,2611
15-Jul-11,Derived EIA Weekly Estimates,627,660,154,264,966,176,790,2671
22-Jul-11,Derived EIA Weekly Estimates,646,681,158,271,958,167,791,2714
29-Jul-11,Derived EIA Weekly Estimates,666,703,152,285,954,160,794,2759
05-Aug-11,Derived EIA Weekly Estimates,683,724,155,288,933,151,782,2783
12-Aug-11,Derived EIA Weekly Estimates,702,752,160,294,925,142,783,2833
19-Aug-11,Derived EIA Weekly Estimates,729,784,164,298,932,143,789,2906
26-Aug-11,Derived EIA Weekly Estimates,751,815,168,298,929,139,790,2960
02-Sep-11,Derived EIA Weekly Estimates,776,848,171,298,932,139,793,3025
09-Sep-11,Derived EIA Weekly Estimates,801,882,176,299,951,144,807,3110
16-Sep-11,Derived EIA Weekly Estimates,825,916,180,305,975,153,822,3201
23-Sep-11,Derived EIA Weekly Estimates,855,953,185,312,1007,166,841,3311
30-Sep-11,Derived EIA Weekly Estimates,879,990,189,319,1031,170,861,3408
07-Oct-11,Derived EIA Weekly Estimates,900,1023,194,330,1074,188,886,3521
14-Oct-11,Derived EIA Weekly Estimates,922,1059,196,337,1111,206,905,3624
21-Oct-11,Derived EIA Weekly Estimates,939,1086,198,342,1151,226,925,3717
28-Oct-11,Derived EIA Weekly Estimates,947,1109,200,348,1189,244,945,3793
04-Nov-11,Derived EIA Weekly Estimates,950,1122,201,353,1204,253,951,3830
11-Nov-11,Derived EIA Weekly Estimates,955,1123,201,353,1212,263,949,3844
18-Nov-11,Derived EIA Weekly Estimates,957,1122,203,356,1216,268,948,3853
25-Nov-11,Derived EIA Weekly Estimates,953,1108,204,357,1229,276,953,3850
02-Dec-11,Derived EIA Weekly Estimates,951,1093,203,359,1224,281,943,3830
09-Dec-11,Derived EIA Weekly Estimates,935,1061,195,342,1197,276,921,3729
16-Dec-11,Derived EIA Weekly Estimates,905,1028,191,324,1182,274,908,3628
23-Dec-11,Derived EIA Weekly Estimates,881,998,186,309,1173,275,898,3548
30-Dec-11,Derived EIA Weekly Estimates,853,964,183,308,1163,279,884,3471
06-Jan-12,Derived EIA Weekly Estimates,819,923,180,308,1147,274,873,3377
13-Jan-12,Derived EIA Weekly Estimates,791,890,174,301,1134,276,858,3290
20-Jan-12,Derived EIA Weekly Estimates,728,831,165,283,1090,260,830,3098
27-Jan-12,Derived EIA Weekly Estimates,682,778,160,278,1068,254,814,2966
03-Feb-12,Derived EIA Weekly Estimates,656,745,157,275,1056,250,806,2888
10-Feb-12,Derived EIA Weekly Estimates,616,702,152,272,1018,240,778,2761
17-Feb-12,Derived EIA Weekly Estimates,570,651,146,267,961,217,744,2595
24-Feb-12,Derived EIA Weekly Estimates,545,619,141,266,942,214,728,2513
02-Mar-12,Derived EIA Weekly Estimates,515,589,137,258,934,216,718,2433
09-Mar-12,Derived EIA Weekly Estimates,491,558,133,255,933,223,710,2369
16-Mar-12,Derived EIA Weekly Estimates,489,550,134,255,952,232,720,2380
23-Mar-12,Derived EIA Weekly Estimates,506,557,134,253,980,247,733,2429
30-Mar-12,Derived EIA Weekly Estimates,510,563,137,256,1006,260,746,2472
06-Apr-12,Derived EIA Weekly Estimates,515,564,137,261,1001,258,743,2478
